Model	Threshold	Accuracy	Precision_micro	Recall_micro	F1_micro	Precision_macro	Recall_macro	F1_macro	MCC
A (KcELECTRA + KPoEM)	0.3	0.78899085521698	0.525361559421505	0.6623942917547568	0.5859731151373466	0.43259145670883825	0.49991812910551786	0.4459551567270822	0.4523112859599434
C (KcELECTRA + KOTE)	0.3	0.7699571251869202	0.4869198312236287	0.3812103594080338	0.4276291410360928	0.4613868608335439	0.3302817188948934	0.3430580822647226	0.28969985374034285
B (KOTE -> KPoEM)	0.3	0.7928035259246826	0.531072298943948	0.6910676532769556	0.6005971520440974	0.47169924185166673	0.5415412222818339	0.48646626193031267	0.4712657180551384
